"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-08,2026-06-08,"Target Evergreen Campaign",active,50,Daily,41.2,21449,21700,1.011702,28,0.129032,1.471429,1.898618,12,0,0,
2026-06-08,2026-06-08,"Whole Foods Evergreen Campaign",active,50,Daily,36.78,24385,24385,1,16,0.065614,2.29875,1.508304,3,0,0,
2026-06-08,2026-06-08,"Audience Test (Parents + Cooking)",active,50,Daily,64.73,39592,39592,1,67,0.169226,0.966119,1.634926,15,0,0,
2026-06-08,2026-06-08,"Existing Posts",active,50,Daily,66.39,5126,5370,1.0476,368,6.852886,0.180408,12.363128,348,63,0.18103448,1.05380952
2026-06-07,2026-06-07,"[Parents + Cooking] Creative Test",inactive,50,Daily,49.45,25372,25372,1,15,0.05912,3.296667,1.948999,5,0,0,
2026-06-07,2026-06-07,"Target Evergreen Campaign",active,50,Daily,56.44,28696,28696,1,22,0.076666,2.565455,1.966825,3,1,0.33333333,56.44
2026-06-07,2026-06-07,"Whole Foods Evergreen Campaign",active,50,Daily,85.06,97497,97497,1,93,0.095388,0.914624,0.872437,12,0,0,
2026-06-07,2026-06-07,"Audience Test (Parents + Cooking)",active,50,Daily,48.98,23868,24354,1.020362,18,0.07391,2.721111,2.011169,3,0,0,
2026-06-07,2026-06-07,"Existing Posts",active,50,Daily,76.33,6272,6454,1.029018,377,5.841339,0.202467,11.826774,366,85,0.23224044,0.898
2026-06-06,2026-06-06,"[Parents + Cooking] Creative Test",inactive,50,Daily,59.17,32701,32701,1,19,0.058102,3.114211,1.809425,3,0,0,
2026-06-06,2026-06-06,"Target Evergreen Campaign",active,50,Daily,21.4,11565,11565,1,2,0.017294,10.7,1.850411,1,0,0,
2026-06-06,2026-06-06,"Whole Foods Evergreen Campaign",active,50,Daily,4.42,4118,4311,1.046867,8,0.185572,0.5525,1.025284,0,0,,
2026-06-06,2026-06-06,"Audience Test (Parents + Cooking)",active,50,Daily,54.75,29842,29955,1.003787,15,0.050075,3.65,1.827742,8,0,0,
2026-06-06,2026-06-06,"Existing Posts",active,50,Daily,56.1,4377,4377,1,303,6.92255,0.185149,12.816998,302,65,0.21523179,0.86307692
2026-06-05,2026-06-05,"[Parents + Cooking] Creative Test",inactive,50,Daily,55.39,26379,27566,1.044998,27,0.097947,2.051481,2.009359,3,0,0,
2026-06-05,2026-06-05,"Target Evergreen Campaign",active,50,Daily,27.89,13702,14429,1.053058,11,0.076235,2.535455,1.932913,2,0,0,
2026-06-05,2026-06-05,"Whole Foods Evergreen Campaign",active,50,Daily,13.99,10757,10757,1,12,0.111555,1.165833,1.300548,3,0,0,
2026-06-05,2026-06-05,"Audience Test (Parents + Cooking)",active,50,Daily,49.76,23315,24185,1.037315,23,0.0951,2.163478,2.057474,1,0,0,
2026-06-05,2026-06-05,"Existing Posts",active,50,Daily,78.34,5229,5723,1.094473,257,4.490652,0.304825,13.688625,219,59,0.26940639,1.32779661
2026-06-04,2026-06-04,"[Parents + Cooking] Creative Test",inactive,50,Daily,52.67,23027,24540,1.065705,13,0.052975,4.051538,2.146292,3,0,0,
2026-06-04,2026-06-04,"Target Evergreen Campaign",active,50,Daily,43.37,22930,22930,1,35,0.152638,1.239143,1.891409,4,0,0,
2026-06-04,2026-06-04,"Whole Foods Evergreen Campaign",active,50,Daily,34.05,20104,20926,1.040887,20,0.095575,1.7025,1.627162,3,0,0,
2026-06-04,2026-06-04,"Audience Test (Parents + Cooking)",active,50,Daily,49.23,20670,22117,1.070005,11,0.049736,4.475455,2.22589,4,0,0,
